problem_text,category
brakes squeaking loudly when stopping,braking
grinding noise from brakes when slowing down,braking
brake pedal feels soft and spongy,braking
car pulls to one side while braking,braking
brakes vibrating at high speed,braking
longer stopping distance than usual,braking
brake warning light on dashboard,braking
burning smell after braking,braking

engine overheating after driving for 20 minutes,cooling
coolant leaking under the front of the car,cooling
temperature gauge going into the red,cooling
heater not blowing hot air,cooling
sweet smell coming from engine bay,cooling
engine runs hot in traffic,cooling
coolant level dropping quickly,cooling
steam coming from under the bonnet,cooling

battery keeps dying overnight,electrical
headlights flickering while driving,electrical
car wont start only clicking noise,electrical
dashboard warning lights randomly turn on,electrical
radio and lights cutting out,electrical
battery dying and headlights flashing,electrical
car loses power when lights turned on,electrical
electrical issues with battery and lights,electrical

engine misfiring and shaking while driving,engine
rough idle at traffic lights,engine
check engine light and loss of power,engine
poor acceleration and engine jerking,engine
engine stalling when stopping,engine
engine knocking sound when accelerating,engine
car hesitates when pressing accelerator,engine
engine running unevenly,engine

gears slipping while driving,transmission
difficulty changing gears,transmission
clutch pedal feels loose,transmission
car jerks when changing gears,transmission
burning smell when changing gears,transmission
manual gearbox hard to engage,transmission
automatic transmission slipping,transmission
delayed gear engagement,transmission

knocking noise over bumps,suspension
car feels unstable on uneven roads,suspension
steering wheel vibrating while driving,suspension
clunking sound from front suspension,suspension
uneven tyre wear on front wheels,suspension
car pulls to one side while driving,suspension
suspension feels loose when cornering,suspension
excessive bouncing after bumps,suspension
